<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
20140101,2200,1.65616,1.65778,1.65529,1.65778
20140101,2300,1.65765,1.65921,1.65732,1.65756
20140102,0,1.65753,1.65814,1.65719,1.65783
20140102,100,1.6578,1.65872,1.6574,1.65854
20140102,200,1.65855,1.65868,1.65799,1.65816
20140102,300,1.65816,1.65886,1.658,1.65866
20140102,400,1.65866,1.65906,1.65813,1.65876
20140102,500,1.65878,1.66031,1.65858,1.66004
20140102,600,1.66009,1.66009,1.65897,1.65918
20140102,700,1.65917,1.65928,1.65662,1.65755
20140102,800,1.65755,1.6581,1.65576,1.6573
20140102,900,1.65731,1.65834,1.654,1.65438
20140102,1000,1.65435,1.65577,1.65386,1.65533
20140102,1100,1.65528,1.65528,1.6526,1.6526
20140102,1200,1.65262,1.65262,1.64687,1.64755
20140102,1300,1.64753,1.64921,1.64633,1.64826
20140102,1400,1.64824,1.6486,1.6423,1.64285
20140102,1500,1.64298,1.64502,1.64111,1.64357
20140102,1600,1.64357,1.64499,1.64305,1.64388
20140102,1700,1.6439,1.64444,1.64283,1.64426
20140102,1800,1.64425,1.64437,1.6434,1.64343
20140102,1900,1.64342,1.64394,1.6421,1.64224
20140102,2000,1.64223,1.64411,1.64221,1.64411
20140102,2100,1.64411,1.64524,1.64359,1.64513
20140102,2200,1.64513,1.64523,1.64416,1.64463
20140102,2300,1.64468,1.64499,1.64425,1.64484
20140103,0,1.64485,1.64582,1.64484,1.64499
20140103,100,1.64509,1.64584,1.64411,1.64432
20140103,200,1.64434,1.64465,1.64216,1.64262
20140103,300,1.64263,1.64437,1.64261,1.64342
20140103,400,1.64339,1.64495,1.64335,1.64442
20140103,500,1.6444,1.64475,1.64328,1.64364
20140103,600,1.64364,1.64369,1.64285,1.64355
20140103,700,1.64354,1.64565,1.64332,1.64511
20140103,800,1.64511,1.64643,1.64394,1.64433
20140103,900,1.64428,1.64586,1.64311,1.64556
20140103,1000,1.64556,1.64735,1.64554,1.64656
20140103,1100,1.64653,1.64737,1.646,1.64625
20140103,1200,1.64625,1.64631,1.642,1.64257
20140103,1300,1.64257,1.64284,1.64015,1.64159
20140103,1400,1.64159,1.64171,1.6395,1.64137
20140103,1500,1.64137,1.64433,1.63997,1.64432
20140103,1600,1.64433,1.64444,1.64149,1.6424
20140103,1700,1.6424,1.64282,1.64124,1.64269
20140103,1800,1.64267,1.64342,1.64208,1.64263
20140103,1900,1.64265,1.64326,1.6418,1.64216
20140103,2000,1.64216,1.64232,1.6402,1.64037
20140103,2100,1.64037,1.64184,1.64037,1.64171
20140105,2200,1.64026,1.64147,1.63969,1.64147
20140105,2300,1.64147,1.64159,1.64048,1.64106
20140106,0,1.64108,1.64143,1.64072,1.64108
20140106,100,1.64108,1.64144,1.63519,1.63601
20140106,200,1.63599,1.6371,1.63543,1.63593
20140106,300,1.63595,1.63668,1.63519,1.63646
20140106,400,1.63644,1.63657,1.63482,1.63571
20140106,500,1.63572,1.6367,1.63543,1.636
20140106,600,1.636,1.63738,1.63568,1.63722
20140106,700,1.63722,1.63796,1.63478,1.63508
20140106,800,1.63508,1.63681,1.63486,1.63589
20140106,900,1.63587,1.63797,1.6337,1.63575
20140106,1000,1.63575,1.63875,1.63518,1.63765
20140106,1100,1.63765,1.63886,1.63709,1.63771
20140106,1200,1.63773,1.63877,1.63726,1.63791
20140106,1300,1.6379,1.63921,1.63747,1.63913
20140106,1400,1.63915,1.64134,1.63846,1.6409
20140106,1500,1.64093,1.64337,1.64092,1.64105
20140106,1600,1.64105,1.64207,1.64025,1.64107
20140106,1700,1.64108,1.64159,1.63932,1.64124
20140106,1800,1.64119,1.64202,1.64108,1.64178
20140106,1900,1.64178,1.64181,1.64036,1.64044
20140106,2000,1.64042,1.64072,1.63979,1.64016
20140106,2100,1.64014,1.64112,1.63999,1.64048
20140106,2200,1.64045,1.64177,1.63991,1.64143
20140106,2300,1.64143,1.64191,1.64041,1.64128
20140107,0,1.64128,1.64161,1.64017,1.64084
20140107,100,1.64084,1.641,1.63943,1.6398
20140107,200,1.6398,1.6408,1.63976,1.64069
20140107,300,1.64067,1.64069,1.63925,1.63979
20140107,400,1.63976,1.63976,1.6387,1.63881
20140107,500,1.6388,1.63974,1.63879,1.63953
20140107,600,1.63954,1.63979,1.63872,1.63954
20140107,700,1.63959,1.64035,1.6384,1.63877
20140107,800,1.63877,1.63993,1.63819,1.63835
20140107,900,1.63835,1.64018,1.63765,1.63943
20140107,1000,1.63943,1.64259,1.63936,1.64201
20140107,1100,1.64203,1.6438,1.64063,1.64086
20140107,1200,1.6409,1.64247,1.6409,1.64128
20140107,1300,1.64124,1.64212,1.64035,1.64106
20140107,1400,1.64107,1.64164,1.63857,1.63896
